Character|zh-CN
Narrative|艾玛顺着声音望去，发现双层床的上铺有个刚起身的人。
Unknown|大吵大闹是不对的。
Ema|——！！
Narrative|艾玛十分吃惊，瞬间忘记了呼吸。因为，她认识这位说话的少女。
Ema|（真的假的……是二阶堂希罗……？）
Narrative|二阶堂希罗——
Narrative|是在艾玛的初中时代，令她深陷黑暗的同窗，也是广受众人仰慕，常在人群中心可爱地微笑着的少女……
Narrative|和她对上眼的希罗，也大大的瞪圆了眼睛。艾玛还是第一次见有人把眼睛瞪得那么大。
Hiro|为什么你会在这里？
Narrative|希罗轻快的爬下了床，向艾玛问道。
Narrative|往日同窗竟出现在眼前，惊慌失措的艾玛哑口无言。
Ema|啊……
Hiro|这是哪里？
Narrative|希罗四下张望着，紧张地尖声问道。
Ema|我、我说，希罗……
Narrative|艾玛鼓起勇气，尝试向往日旧识搭话。
Narrative|这时——
Narrative|声音从墙壁上的显示屏幕传来。艾玛和希罗吓了一跳，然后望向屏幕。
Ema|（欸，怎么回事！？猫、猫头鹰怪物……！？）
Warden|啊……喂喂……看得见画面吗……？毕竟机器有好些年头了，故障特别多……唉呀呀。
Warden|大家好，我是典狱长。
Warden|我想给大家作详细说明，请各位到会客厅来集合。
Warden|我会给大家打开牢房的锁，之后请大家跟着带路的看守。
Warden|想反抗也没问题……只不过小命不保罢了……嗯……
Narrative|显示屏幕再次回归一片漆黑。
Ema|典狱长……？看守……？
Narrative|艾玛似乎思考不太跟得上状况的变化，呆站在原地一动不动——而她身边的希罗也一样。紧接着——
Narrative|从铁栅栏的另一侧——过道处，传来了某样沉重物体的移动声，且愈来愈接近。
Narrative|那声音透着一股令人汗毛直竖的感觉，令艾玛她们本能地察觉到了危险。
Narrative|艾玛和希罗绷紧了身子，——然后缓慢地将视线挪动到过道上。
Ema|噫……
Narrative|差点惊声大喊的艾玛，用双手捂住了自己的嘴。
Narrative|面前出现了披着破烂黑衣的不明物体。那东西大概有两三米高。
Narrative|虽然戴着面具，看不见面孔，但从外形看，明显不是人类。
Ema|希、希罗……
Narrative|艾玛在恐惧的驱使下，不禁抓紧了希罗的手臂。就连刚才还很冷静的希罗也望着过道上的异形，呆站着一动不动。
Unknown|呀啊啊啊！怪物别碰我！好恶心！好了，好了啦，我走就是！！
Narrative|艾玛她们听见，其他牢房里有人被怪物强行带走了。
Narrative|这让她们两个感到越来越害怕了。
Hiro|所谓的说明，会解释清楚情况吗。那我得快点过去……
Narrative|希罗自言自语着，然后望向身旁的艾玛。
Narrative|这时她终于发现，艾玛紧紧抓住了她的手臂。
Narrative|——唰。她用力地甩开了艾玛的手。
Ema|……！
Hiro|不要随便碰我。你可别忘了，我讨厌你。
Narrative|希罗的眼神中透着一股深深的厌弃。
Narrative|刚才艾玛抓着铁栅栏时还紧锁着的门，如今轻轻一推就打开了。
Narrative|艾玛马上跟在希罗身后，来到过道上。
Ema|等、等我一下，希罗！
Narrative|过道上又出现了许多名少女。
Narrative|少女们的视线都集中在了艾玛身上。除了希罗，艾玛并未见过这些少女。
Ema|（太好了……我还在想，要是全部人都是初中的同学，我该怎么办呢……）
Narrative|但，所有人的年纪看起来都和自己差不多。跟艾玛和希罗一样，她们都身穿奇妙的衣裳。
Narrative|而过道前方，一个黑衣异形正在走动着。
Ema|（那个异形就是所谓的看守吧）
Narrative|其他少女也吓得脸色煞白，不知所措，只好跟随看守开始移动。
Narrative|希罗远远走在了艾玛前边。艾玛小跑着追赶着她。
Ema|希罗！
Hiro|……
Ema|听、听我说。虽然发生了这样那样的事，不过还能见到希罗你，真是太好了。
Ema|我已经下决心改变了，已经不是过去的我了。我想和你做朋友。
Hiro|……
Narrative|希罗似乎决意要无视艾玛，没有放慢脚步。
Ema|我，我不会放弃的！
Hiro|……
Narrative|希罗发出咬牙切齿的声音，转过身来面向艾玛。
Narrative|然后，毫不犹豫的推了艾玛一下。
Ema|呀！
Narrative|艾玛当即摔倒在地，膝盖擦在坚硬的石地板上。
Narrative|而动手伤人的希罗正恶狠狠地俯视着艾玛。
Hiro|你改变了，跟我有什么关系？
Hiro|我讨厌你的事实不会改变。永远不会。
Narrative|希罗凶巴巴地说道，然后转身离去。
Ema|等、等下……！
Unknown|唔……
Narrative|一位水蓝色头发的少女，正兴致勃勃的观察着二人。
Ema|哇……好大。
Narrative|原来，关押着艾玛她们的牢房位于地下。
Narrative|登上长长的楼梯，迎面而来的是充满豪华洋宅气息的，宽阔的玄关大厅。
Narrative|长长的过道望不见尽头，过道上的门也数不清到底有几扇。连结上层的大楼梯十分地长，脖子往上扭得生疼才能望到顶。
Narrative|建筑物内许多地方都相当地破旧，营造出令人汗毛直竖的气氛。总而言之，这里大得出奇。
Narrative|看守进入了附近的房间内，艾玛也跟着走了进去。
Narrative|这里应该就是会客厅了。
Narrative|和冷冰冰的，充满压迫感的地下不同，这里是个气派华丽，却透着一股邪气的空间。
Narrative|高高的天花板悬挂着吊灯，地上铺着一层老旧的绒毯。房内还配备着沙发和暖炉。
Narrative|装饰在室内的物品相当恶趣味。其中，有样东西吸住了艾玛的眼球——
Ema|这东西，是真的……？
Narrative|墙上挂着一把巨大的弩枪。夸张的尺寸侵占着视野，令艾玛脊背发凉。
Narrative|门外站着一位黑衣看守，正把守连结过道的出入口。
Narrative|既然入口已被封锁，看样子，所有人都已经到齐了。
Narrative|宽阔的会客厅内，共有13位少女聚集在此。
Unknown|…………
Narrative|有正蜷缩在房间的一角处，看着像“社恐”的少女。
Unknown|哼哼哼～哼♪
Narrative|有一边哼着曲子，一边随心所欲地改变着室内的布局的，自由散漫的少女。
Unknown|开什么玩笑！我要杀了你！
Narrative|有正毫无意义地发泄着怒气的戴着口罩的太妹。
Unknown|不觉得这里很臭吗？
Narrative|有露骨地表达着嫌弃，并用手捏着鼻子的猫耳少女。
Unknown|……哎呀呀。
Narrative|有满脸倦怠地叹着气，露出度颇高的少女。
Unknown|呵呵呵。
Narrative|还有像旁观者般露出笑容的，散发妖冶气氛的少女。
Narrative|另外还有一位少女，在墙边观察着众人。
Unknown|…………
Narrative|——她的眼神，十分地，十分地灰暗。
Narrative|她身上最吸人眼球的，便是她背着的那把巨大的，不知真假的枪支。
Unknown|哎呀～真是厉害啊～
Narrative|这时，水蓝色头发的少女大声说道。她的脸上挂着和现场气氛格格不入的，明亮而开心的笑容。
Unknown|突然在牢房里醒来！还被怪物监视着！
Unknown|感觉发生了很厉害的事情！真让人兴奋耶～！
Ema|欸，嗯……？
Narrative|眼中闪着好奇的水蓝色头发少女忽然握住了艾玛双手——
Narrative|然后用力地上下摇动。她好像有些用力过度，害艾玛疼得不禁眯了眯眼睛。
Unknown|“真让人兴奋耶～”，兴奋个头啦！
Unknown|这是很严重的事情好吗！拜托有一点危机感好不好！？
Narrative|这位插嘴少女的声音，就是刚才在牢房那边听到过的尖尖的说话声。
Narrative|她身材小巧，像娃娃一样可爱，就是总感觉说话的口吻有些不太自然。
Narrative|室内有许多名少女，而在这当中，不知是哪一位“噗”地发出了笑声。
Narrative|紧接着，小巧少女的脸一下子涨得红彤彤的。
Unknown|刚刚是谁在笑哇！？
Unknown|——啊，不好意思。就是感觉你的说话口吻有些怪。
Narrative|一位外貌中性的少女往前踏出一步。
Narrative|她身材高挑，透出一股宛如骑士一般的飒爽英气。
Narrative|正所谓锦上添花，她的腰间还佩了一把刺剑，更衬托她的风采。
Narrative|她的超凡气质似乎震撼了大家，每个人都不禁屏住呼吸，目不转睛地看着她。
Unknown|大家应该都是初次见面吧。可以的话，能做个自我介绍吗？
Leia|我来带头吧。我的名字叫莲见蕾雅。
Hanna|……呵，我是远野汉娜。往后请多多指照……往后请多多关教？
Hanna|能先让我讲话吗？你的名字叫蕾雅对不对。一上来就笑话别人，也太失礼了吧？
Leia|呃，抱歉。我没想到你这么介意。求你大人有大量，原谅我吧。
Hanna|我、我也没在意啦……
Leia|你的说话口吻，是你爸妈教的对吗？
Hanna|不要再吐槽了啦！你别管我了～～！！就这样！！
Narrative|她的手握成拳头，不停地在颤抖。看来她的自尊相当受伤。
Narrative|现场气氛因尴尬降至了冰点。这时，有一位不识气氛的少女充满干劲地举起手来。
Sherry|嗨嗨～！我叫橘雪莉。哪里有案件哪里就有我！一切就交给我这位名侦探吧！
Hanna|名侦探？？你？？
Sherry|对哟！咳咳！因为我可是悬疑迷！
Leia|请问你有实际解决过什么案件吗？
Sherry|那还没有哦！
Leia|……是，是吗。我感觉有点头痛了……还是有请下一位吧。你能告诉我名字吗？
Narrative|被喊住的艾玛“唰”地一下摆正了姿势。
Ema|（开、开头是最重要的……！我的第一印象就靠自我介绍决定了，要打起精神……！）
Ema|我、我是，樱羽艾玛！
Narrative|在报上名的同时，有位少女慌张地跑来艾玛身旁。
Meruru|我我我、我的名字是、冰、冰、冰……冰上、梅露露……
Meruru|我、我说，艾玛小姐，那、那个，那个那个那个……你、你、你……
Ema|欸，呃，有什么事吗？
Meruru|你，好像受伤了……
Narrative|虽然有些磕磕绊绊，但梅露露总算把话讲完了。
Narrative|艾玛低头看着自己的膝盖，才发现上面正流着血。
Ema|（是刚刚被希罗推倒的时候受的伤……）
Ema|不算什么问题啦，没事的！
Meruru|这，当然有问题了……
Narrative|梅露露露出一副差点要哭出来的表情。接着，她单膝跪地，把手放在了艾玛的膝盖上面。
Narrative|——然后，接下来发生的事情令艾玛吃了一惊。
Ema|欸……？
Narrative|梅露露的掌心发出光芒，而艾玛膝上的伤口正肉眼可见地愈合。
Narrative|在场所有人直到上一刻还在互相打量提防着他人，下一刻就都把目光齐刷刷聚集在了她展现出的神奇力量上。
Meruru|你痛不痛？没事吧？
Ema|谢、谢谢你。
Narrative|梅露露讲话时扭捏地望着地面，并没有对上艾玛的眼睛。
Narrative|蕾雅清了清嗓子，准备重新回到刚才的话题。
Leia|……虽然很想问这道神奇力量是什么情况，但是其他人还没介绍完，我觉得还是先继续自我介绍吧。下一个。你可以自我介绍下吗？
Coco|啊，轮到我了？我的名字是泽渡可可。
Coco|我说，我能问你几个问题吗？我好像在电视上见到过你。
Narrative|自称可可的少女走近蕾雅身旁，向她投去毫无顾忌的视线。
Sherry|哦，对，我也想起来了！你是有名人对吧！？
Ema|听你们一讲……我好像也见过。
Ema|（记得是活跃在舞台剧、电视节目、电影领域的女演员……而且身材长相都超级好的……难道真的是本人？）
Leia|因为我有所属的艺能事务所，平时工作还是很多的。最常接的就是舞台剧，不过电视节目也经常参演。
Sherry|真是你！好厉害，我还是第一次亲眼见到艺人耶。请你给我签名！！
Coco|喂，你好碍事！是我先发现她的！我在网上有做主播，总之来和我开联动台吧！！
Leia|呵呵，自我介绍还没结束呢，这事就以后再说吧。各位，可以继续下一个吗？
Narrative|蕾雅似乎已经习惯这样的场面。她自然地躲开了话题，催促其他少女继续自我介绍。
Miria|呃……好尴尬……我是佐伯米莉亚哦？请多多关照～啊哈哈～……唉。
Margo|我是宝生玛格。这里好多可爱的小朋友，害我忍不住舔嘴巴了，呵呵。
Alisa|啧……紫藤亚里沙。我可没兴趣跟你们搞好关系。
Narrative|自称亚里沙的少女戴着口罩，看不到脸。
Sherry|你叫亚里沙，对吗。为什么戴口罩？被人看到脸会很不好吗？
Alisa|你好烦，跟你没关系吧。
Sherry|哎呀，我超好奇！名侦探的血都沸腾起来了！
Alisa|再跟我扯有的没的我就揍你！！
Leia|你们不要吵了！
Leia|我知道你现在对雪莉很不满，但是我们现在更需要互相了解。
Sherry|你刚是不是不经意间在鄙视我？
Leia|没有这个意思，不过我的确希望你能安静一点。
Sherry|欸嘿☆我知道了～
Leia|呃，剩下还有……
Narrative|在墙边像乌龟一样缩成一团的少女忽然间拿出了素描本。
Narrative|不知是因为不能说话，还是有别的什么原因，她把话写在了素描本上，然后拿起来给大家看。
AnAn|『吾辈是夏目安安。今后，请各位不要找吾辈说话』
Nanoka|……黑部奈叶香。
Hiro|我的名字是二阶堂希罗。
Ema|（希罗……）
Narrative|差不多所有人的自我介绍都结束了，但，还有一位少女完全没参与话题。
Narrative|就是那位一直在擅自更改室内布局，摆弄室内物品的少女。
Leia|不好意思，好像就剩你还没自我介绍了。能告诉我你的名字吗？
Noah|嗯～？名字？诺亚就是诺亚哦？嗯，城崎诺亚。
Narrative|自称诺亚的少女马上又继续摆弄着室内的物品。
Leia|这下至少知道该怎么称呼各位了，真是太好了。
Leia|我也不知道，我们来到这里到底有什么意义。但是，我想我们应该冷静行动。
Leia|总之我们不要吵闹，静下心来等待说明，好吗。
Narrative|蕾雅话音刚落——
Narrative|那只怪物猫头鹰从天花板处的通风口飞了过来。少女们的视线集中在它身上。
Warden|啊……好多人……呃，我再重新自我介绍下……我是受命管理这座宅邸的可爱猫头鹰，典狱长……
Ema|（是刚刚在电视上看到的猫头鹰……！）
Warden|……因为下班时间快到了……我就抓紧时间开始说明咯……
Warden|嗯……非常遗憾地告诉大家……各位的身上拥有成为【魔女】的因子。
Narrative|现场瞬时嘈杂起来，不安的气氛正在蔓延。
Ema|（魔女……？魔女，是什么……？）
Narrative|艾玛不知所措地摇了摇头。
Narrative|魔女不过是存在于动画、漫画或者电影里的虚构形象。
Narrative|此时却忽然有人宣布，这是真实存在的，像她们一样的普通人，自然没法全盘接受。
Warden|用上层大人物的话来讲，【魔女】是给这个国家带来灾难的邪恶化身。
Warden|而经我国法律规定的全国性检查，从在场各位身上均明显检测到了魔女的因子。
Warden|因此，国家判断你们相当危险，决定将各位收容至这座监牢内。情况就是这样。
Warden|因为各位都有化为【魔女】的可能性，我们绝不能坐视不管……
Warden|所以呢，请大家明白……对于这个世界，你们就是有害的坏人。
Coco|哈！？搞什么，你好恶心！！我不记得我做过那种检查欸～？
Warden|你向我发脾气也没用……我只是一只可爱的猫头鹰……
Warden|从这个春季开始，请大家以囚犯的身份，在这里生活下去。
Warden|得救的方法倒也不是没有……只要能找到【大魔女】，就能将各位的诅咒……
Warden|啊，不过，让你们抱有期待也不太好……请把这事忘了吧。
Warden|这里有浴室还有娱乐室，各类设施一应俱全，要不要考虑考虑……在这里快乐度过余生呢？
Ema|（囚犯……？）
Narrative|艾玛的思考似乎没跟上现实情况的发展速度。为了压抑住激烈的心跳，她用手按住了胸口。
Warden|啊，顺带一提，看守就是过去收监在此的人成为了魔女后的样子。
Warden|我们称之为【残骸】。
Warden|多数成为魔女的人都会被处刑，但我们会挑出其中比较容易使唤的，对它进行心灵操控。
Warden|我们已经命令它们，只要谁敢反抗就杀谁……真是不好意思，反抗的话就请你去死吧。
Narrative|少女们的视线集中在把守着出入口的黑衣怪物。
Narrative|那怪物曾是人类。成为魔女之后，就化作如此“残骸”。
Narrative|少女们的表情，述说着她们内心的难以置信。
Narrative|在苦闷的沉默之中，最初往前踏出一步的，是二阶堂希罗。
Narrative|面容清秀的少女，用清冽的声音说道。
Hiro|你搞错了。我不是邪恶。
Narrative|希罗似乎抱持有绝对的自信，声音中没有一丝迷惘。紧接着——
Hiro|给这个国家带来灾难的危险因子，是她才对。
Narrative|唰——她伸出手指着艾玛。
Ema|……
Narrative|梅露露靠在艾玛身旁，手掌轻轻扶住她的手臂。虽然没有直视着她，但梅露露的担心应该是发自真心的。
Meruru|艾玛小姐……
Narrative|面对梅露露的暖心举动，艾玛露出了微笑。
Ema|欸嘿嘿，没事的啦。
Narrative|对于希罗的指控，典狱长叹了口气，打心底里觉得麻烦。
Warden|唉～～……我说，求你们了。请接受你们是恶人的事实。我很不想加班啦，希望大家能和和气气开开心心地相处下去……
Hiro|你错了。我不是邪恶。
Narrative|希罗毫不犹豫地向前走出一步。
Hiro|能导正这个世界的，只有我。
Hiro|就让我来消灭这个世界的邪恶。第一个该消灭的——
Narrative|希罗将倚靠在暖炉旁的拨火棍拿到手里。
Narrative|她那浑浊的双眼紧盯着艾玛。艾玛害怕极了，不由得往后退。
Ema|（不可能，的吧……？再怎么讨厌我，也不至于要杀人吧）
Narrative|希罗手持凶器，令少女之间的气氛愈发紧张。
Hiro|就是你！怪物！
Narrative|——哒。希罗凌空一跃。
Narrative|梅露露抱紧了艾玛，摆出要保护她的姿势。而艾玛则闭紧了双眼。
Narrative|但凶器没有向艾玛挥下。艾玛战战兢兢地睁开双眼，发现——
Narrative|希罗的杀意，竟挥向了在场的看守。
Ema|（啊，我想起来了，希罗她……就是这样的性格）
Narrative|在这里，明显是【错误】的事物，是魔女的【残骸】——也就是具有怪物外形的看守。
Narrative|而消除这个世界的【错误】，便是二阶堂希罗对自己赋予的使命。
Hiro|邪恶去死！去死去死去死！
Narrative|希罗无数次挥动手中的拨火棍。
Narrative|血肉飞溅，将她的脸庞染得越来越红。
Narrative|在她无情的攻击下，看守的身体毁坏得失去了原形。如果是一般的人类，挨上一下或许便一命呜呼了。
Narrative|而希罗却不带半点犹豫，要将看守彻底击溃。
Narrative|在场的所有人只能在旁目睹这副惨烈的景象。
Narrative|尽管手中快速挥舞着沉重的拨火棍，她仍能作出敏捷的机动动作。
Narrative|——即便如此。
Narrative|不管受到多少攻击，看守依然不会死去。
Narrative|下一刻，看守以明显非人的速度和力度，瞬间挥下反击的镰刀。
Narrative|——希罗的头颅，和身体一分为二。
Narrative|希罗的头颅，落在了艾玛的眼前。
Ema|欸……？
Narrative|而留在原地的身体，仍紧握着那把拨火棍。
Narrative|摇摇晃晃地彷徨了数秒后，“咚”地一下倒在地面上。
Hanna|呀啊啊啊——！！
Narrative|刚刚斩落的头颅睁大着眼睛，露出了惊讶的表情。
Narrative|而向艾玛投去嫌恶眼神的双眼，已经失去了光芒。
Ema|希罗……？
Ema|（明明想着还可以重来……还可以再和你当朋友的）
Narrative|二阶堂希罗，死了。
Narrative|艾玛茫然地，颤抖着靠近希罗的头颅，伸出了手。
Narrative|她的手，触碰着沾满鲜血的面庞。
Ema|这不是真的吧，希罗……？不要，不要，不要。
Narrative|艾玛的眼中逐渐溢出泪水，一颗颗从她脸上滑落。
Narrative|她发现，在视野的一角，残余遗体的近处，有一样闪闪发光的东西。
Narrative|那似乎是随着希罗身体倒下，从她的口袋中掉出来的。
Narrative|艾玛马上把那件伸手可及的物品捡了起来。
Ema|（这是……）
Narrative|握在艾玛手中的是一支钢笔。
Narrative|这支钢笔对艾玛来说，也是一件十分重要的物品——
Ema|（希罗……我不会再把它弄丢了）
Narrative|艾玛将钢笔收进了自己的口袋里。
Warden|哇～……死掉了呢……还得打扫……
Warden|啊，不过，魔女是不会因为这样的事死掉的，所以这证明了她不是魔女呢。
Warden|哎呀呀……真是太好了。
Ema|（好……？希罗都死了，怎么可能好……！）
Narrative|艾玛擦去眼泪，紧紧瞪住了典狱长。
Narrative|但典狱长并不介意她的眼神，只是以严肃的语气往下说道。
Warden|——啊，还有几句话要说，真是不好意思。有一件最重要的事情，要跟大家说清楚。
Warden|即将转变为魔女的人，会产生无法抑制的杀意或妄想。
Warden|这就会带来一桩麻烦事……总有一天囚犯内部会发生凶杀案。
Sherry|凶杀案！？
Narrative|听到这番话后，雪莉的眼睛闪着不合时宜的亮光。
Warden|是啊……每次都会有这种事……再怎么说也不可能和危险人物共同生活，对不对。
Warden|所以呢，只要发生了凶杀案，我们就会举行【魔女审判】。
Warden|成为【魔女】的囚犯呢……嗯…………我们会对其处以死刑……
Warden|详细情况麻烦去看【魔女图鉴】。我就失陪啦……
Narrative|典狱长拍动翅膀，从通风口处离开了。
Narrative|艾玛低头望着自己的双手。双手已被希罗的血染成一片深红。
Narrative|——做得好。
Narrative|听到这道声音，艾玛吓了一跳。她马上看了看四周。
Narrative|当然，她的身边根本没有其他人。
Ema|（是啊，怎么可能，会有其他人……）
Narrative|就这样，艾玛等人的狱中生活开始了。
Narrative|一道仿佛脚下正无声崩塌般的不祥预感萦绕在所有少女的心头上。
Narrative|沾满鲜血的会客厅内，少女们陷入了恐慌。
Jailer|………
Narrative|唯一在室内缓慢行动的，只有看守了。
Narrative|看守正在打扫二阶堂希罗的尸体。在此作业期间——
Alisa|呜……！
Narrative|有一位难耐恐惧的少女猛然开始狂奔。
Narrative|看守对逃跑行动作出了反应。它开始以迅猛之势追赶那位少女，紫藤亚里沙。
Ema|（危险！）
Narrative|跟在亚里沙身后的看守，手上的镰刀亮起寒光。
Narrative|面对即将二度降临的悲剧，大部分少女都捂住了眼睛，发出了惊叫声。
Leia|等一下！
Narrative|一位少女用威严的声音说道。在场的所有人都回过神来看着她。
Narrative|那位少女——莲见蕾雅拔出了腰间的刺剑，站到亚里沙和看守二位中间。
Leia|不许对她出手！我不会再让悲剧发生！
Narrative|看守似乎没有听进去，继续用力挥下镰刀。
Ema|（不要再这样了——！）
Narrative|艾玛她……
Choice|挡在蕾雅的身前
Choice|选择了旁观
Leia|——哈！
Narrative|蕾雅瞬间往后方跳去，让看守砍了个空。
Narrative|蕾雅保持着握剑姿势，以坚决的眼神直视看守。
Leia|她没有违反规定。你没有理由杀她。
Narrative|在蕾雅身后站着的亚里沙大概是丧失了逃跑的欲望，呆站在原地一动不动。
Alisa|你为什么……
Leia|我想保护你们。所以，我们大家都应该冷静下来。
Jailer|…………
Narrative|看守不再挥动镰刀，回到了原先的打扫作业中。或许，刚才的行动只是出于警告目的。
Narrative|接着，它扛起希罗的尸体离开了房间。
Narrative|随着看守的离开，少女之间紧绷的气氛终于有了稍许缓解。
Narrative|只不过，尽管希罗的尸体已打扫干净，但室内仍充满着沉闷的血液气味。
Narrative|刚刚有人说过，这个房间【很臭】。
Narrative|会客厅装点着恶趣味装饰，散发着邪气。
Narrative|如果说，这里的绒毯、沙发、窗帘，每样东西都在长年累月间吮吸着少女们的鲜血——
Coco|呜，呕呕呕……
Narrative|一想到这些或许就是事实，可可便吐了出来。
Narrative|到现在都没人想吐，这才是怪事。现在的状况，就是如此地脱离常轨。
Narrative|这时有人站到了中间。不用多想，那就是蕾雅。
Leia|大家，请听我说！
Leia|看来，我们被迫只能在这里共同生活了。虽然不知道要待到什么时候……现在我们还是乖乖照做吧。
Leia|尽管我们才刚认识不久，但是我想尽量保护你们。
Leia|像刚才希罗作出的举动，还有像亚里沙刚才那样的逃跑行为，有可能会危及我们所有人。
Leia|我希望大家今后可以谨慎行动。
Alisa|啧……
Narrative|亚里沙无法反驳，只好咂了咂舌宣泄不满。
Leia|……首先，请大家看一下自己的口袋。应该每个人都发了一部手机。
Narrative|听蕾雅这么讲，所有人都摸了摸自己的口袋。
Ema|（真的欸……虽然不是我自己的，不过确实有一部智能手机……难道可以用它联络外界！？）
Leia|遗憾的是，没有信号，不能用来和外界联络。
Leia|我们是被抓来这个地方的，有信号才奇怪……
Narrative|希望瞬间破灭，艾玛失望地垂下肩膀。
Leia|在手机里面，有一个叫【魔女图鉴】的APP。
Leia|刚才典狱长也讲了，【魔女图鉴】好像就是规则手册。里面收录了监牢的地图和规定，还有我们囚犯的资料。
Leia|请大家都认真去看【魔女图鉴】里面记录的规定，一起生活下去吧。
Alisa|……开什么玩笑！我才不管什么规定不规定！
Alisa|什么魔女什么囚犯都见鬼去吧！我一秒都不想待在这个地方。我要离开这里！
Narrative|面对咬牙切齿的亚里沙，蕾雅忧愁地叹了口气。
Leia|你要是再表现出反抗的态度，我可不知道看守会对你做出什么事来。
Alisa|跟你没关系吧，你管我！
Narrative|亚里沙咂了咂舌，离开了会客厅。蕾雅无可奈何地耸了耸肩。
Leia|除了她，剩下来的人应该可以好好配合吧？
Ema|……我也，不愿意。
Narrative|艾玛往前走出一步，开口说道。
Ema|我才不要听，杀死希罗的那帮家伙讲的话！我绝对不会原谅它们！
Narrative|双眼闪着泪花的艾玛坚定说道。蕾雅露出了有些惊讶的表情。
Leia|是这样啊。你好像认识希罗，对吗。
Leia|不过在我看来，你们好像关系并不是很好？
Ema|因为，希罗她……希罗她是一个正直的人……
Narrative|蕾雅轻轻叹了口气。
Leia|唉，我知道你不打算遵守了。我也不会强迫你。
Leia|不过，我希望大家可以温和一些。我们无法和引来危险的分子一起行动。
Sherry|我也来我也来！我也要选艾玛这边～！
Narrative|雪莉兴奋地举起了手。
Narrative|艾玛惊讶得张大了双眼，事情的发展超出了她的预料。
Sherry|选边就要选有趣的一边，这就是我的信条！
Sherry|而艾玛你！我从你的身上闻到了一股超浓郁的有趣味道！
Ema|浓郁的，味道……？
Narrative|不知何时，艾玛的身边又多了汉娜和梅露露两个人。
Hanna|我也要和你站一边。本小姐最讨厌那种一副大人物的样子指指点点的人了。
Narrative|看样子，她并没有想着支持艾玛，而只是单纯地看不惯蕾雅。虽然自尊受伤，不过还蛮有骨气的。
Meruru|呜呜……艾玛小姐……
Narrative|而梅露露好像有点怕生，她紧紧贴住了艾玛。
